period,Change_Type,Country name,initial_rank,ending_rank,rank_change,start_year,end_year
1945-1949,Gainer,PRY,28,2,-26,1947,1949
1945-1949,Gainer,NIC,20,9,-11,1947,1949
1945-1949,Gainer,HTI,13,6,-7,1947,1949
1945-1949,Gainer,PHL,12,5,-7,1947,1949
1945-1949,Gainer,LBR,7,1,-6,1947,1949
1945-1949,Loser,BEL,15,45,30,1947,1949
1945-1949,Loser,ZAF,26,56,30,1947,1949
1945-1949,Loser,ISL,6,39,33,1947,1949
1945-1949,Loser,FRA,5,48,43,1947,1949
1945-1949,Loser,SWE,4,54,50,1947,1949
1950-1954,Gainer,ETH,43,1,-42,1950,1954
1950-1954,Gainer,CAN,42,5,-37,1950,1954
1950-1954,Gainer,CRI,48,11,-37,1950,1954
1950-1954,Gainer,DOM,54,26,-28,1950,1954
1950-1954,Gainer,IRN,28,2,-26,1950,1954
1950-1954,Loser,AFG,18,41,23,1950,1954
1950-1954,Loser,BRA,12,36,24,1950,1954
1950-1954,Loser,MMR,9,34,25,1950,1954
1950-1954,Loser,VEN,14,39,25,1950,1954
1950-1954,Loser,PHL,2,31,29,1950,1954
1955-1959,Gainer,MAR,67,46,-21,1957,1959
1955-1959,Gainer,SWE,36,18,-18,1955,1959
1955-1959,Gainer,TUN,47,34,-13,1957,1959
1955-1959,Gainer,MEX,20,8,-12,1955,1959
1955-1959,Gainer,DNK,28,18,-10,1955,1959
1955-1959,Loser,ESP,4,51,47,1956,1959
1955-1959,Loser,SRB,22,70,48,1955,1959
1955-1959,Loser,IDN,15,66,51,1955,1959
1955-1959,Loser,IRQ,6,72,66,1955,1959
1955-1959,Loser,ZAF,3,75,72,1955,1959
1960-1964,Gainer,NIC,72,19,-53,1960,1963
1960-1964,Gainer,CHL,68,24,-44,1960,1963
1960-1964,Gainer,CHN,76,40,-36,1960,1963
1960-1964,Gainer,DOM,82,52,-30,1960,1963
1960-1964,Gainer,AUS,73,50,-23,1960,1963
1960-1964,Loser,TCD,4,63,59,1961,1963
1960-1964,Loser,CIV,8,69,61,1961,1963
1960-1964,Loser,YEM,22,87,65,1960,1963
1960-1964,Loser,MDG,19,90,71,1961,1963
1960-1964,Loser,LBN,15,88,73,1960,1963
1965-1969,Gainer,GTM,69,2,-67,1965,1969
1965-1969,Gainer,JAM,86,26,-60,1965,1969
1965-1969,Gainer,MDV,67,7,-60,1966,1969
1965-1969,Gainer,PAN,63,4,-59,1965,1969
1965-1969,Gainer,IRN,73,15,-58,1965,1969
1965-1969,Loser,LBR,17,84,67,1965,1969
1965-1969,Loser,GMB,1,70,69,1966,1969
1965-1969,Loser,CAF,13,83,70,1965,1969
1965-1969,Loser,BFA,6,92,86,1965,1969
1965-1969,Loser,CIV,9,104,95,1965,1969
1970-1974,Gainer,SOM,81,3,-78,1970,1974
1970-1974,Gainer,KHM,71,1,-70,1970,1974
1970-1974,Gainer,NGA,60,7,-53,1970,1974
1970-1974,Gainer,COG,92,44,-48,1970,1974
1970-1974,Gainer,BWA,118,73,-45,1970,1974
1970-1974,Loser,LAO,4,77,73,1970,1974
1970-1974,Loser,SWZ,32,106,74,1970,1974
1970-1974,Loser,COL,19,98,79,1970,1974
1970-1974,Loser,HND,26,108,82,1970,1974
1970-1974,Loser,GTM,11,96,85,1970,1974
1975-1979,Gainer,BRB,116,40,-76,1975,1979
1975-1979,Gainer,BHS,140,67,-73,1975,1979
1975-1979,Gainer,ECU,65,9,-56,1975,1979
1975-1979,Gainer,KEN,66,10,-56,1975,1979
1975-1979,Gainer,JAM,73,22,-51,1975,1979
1975-1979,Loser,MOZ,2,71,69,1976,1979
1975-1979,Loser,GNB,3,76,73,1975,1979
1975-1979,Loser,STP,1,82,81,1976,1979
1975-1979,Loser,GNQ,4,90,86,1975,1979
1975-1979,Loser,AGO,1,98,97,1977,1979
1980-1984,Gainer,LSO,95,35,-60,1980,1984
1980-1984,Gainer,GNB,83,25,-58,1980,1984
1980-1984,Gainer,GIN,68,11,-57,1980,1984
1980-1984,Gainer,BWA,64,8,-56,1980,1984
1980-1984,Gainer,STP,75,20,-55,1980,1984
1980-1984,Loser,JAM,36,95,59,1980,1984
1980-1984,Loser,GRD,74,139,65,1980,1984
1980-1984,Loser,BRB,19,94,75,1980,1984
1980-1984,Loser,LCA,16,124,108,1980,1984
1980-1984,Loser,SLB,5,125,120,1980,1984
1985-1989,Gainer,ROU,97,19,-78,1985,1989
1985-1989,Gainer,SLB,134,62,-72,1985,1989
1985-1989,Gainer,BLR,98,29,-69,1985,1989
1985-1989,Gainer,RUS,98,30,-68,1985,1989
1985-1989,Gainer,CZE,96,29,-67,1985,1989
1985-1989,Loser,LSO,23,91,68,1985,1989
1985-1989,Loser,BHR,9,86,77,1985,1989
1985-1989,Loser,BWA,3,88,85,1985,1989
1985-1989,Loser,TGO,2,89,87,1985,1989
1985-1989,Loser,KEN,1,117,116,1985,1989
1990-1994,Gainer,KNA,111,4,-107,1990,1994
1990-1994,Gainer,COD,103,1,-102,1990,1994
1990-1994,Gainer,HND,107,17,-90,1990,1994
1990-1994,Gainer,GRD,112,36,-76,1990,1994
1990-1994,Gainer,SLV,113,43,-70,1990,1994
1990-1994,Loser,NGA,14,86,72,1990,1994
1990-1994,Loser,GMB,9,84,75,1990,1994
1990-1994,Loser,GTM,39,114,75,1990,1994
1990-1994,Loser,GAB,21,108,87,1990,1994
1990-1994,Loser,RWA,1,107,106,1990,1994
1995-1999,Gainer,KNA,174,4,-170,1995,1999
1995-1999,Gainer,GMB,170,1,-169,1995,1999
1995-1999,Gainer,DMA,153,5,-148,1995,1999
1995-1999,Gainer,VCT,134,13,-121,1995,1999
1995-1999,Gainer,COG,106,17,-89,1995,1999
1995-1999,Loser,BIH,94,165,71,1995,1999
1995-1999,Loser,COD,96,167,71,1995,1999
1995-1999,Loser,PER,5,80,75,1995,1999
1995-1999,Loser,CYP,81,157,76,1995,1999
1995-1999,Loser,MWI,67,156,89,1995,1999
2000-2004,Gainer,GNB,183,34,-149,2002,2004
2000-2004,Gainer,STP,156,11,-145,2000,2004
2000-2004,Gainer,LSO,120,3,-117,2000,2004
2000-2004,Gainer,COG,124,12,-112,2000,2004
2000-2004,Gainer,COD,174,92,-82,2000,2004
2000-2004,Loser,VUT,80,182,102,2000,2004
2000-2004,Loser,GNQ,11,122,111,2000,2004
2000-2004,Loser,CMR,60,177,117,2000,2004
2000-2004,Loser,GRD,35,167,132,2000,2004
2000-2004,Loser,HTI,7,184,177,2000,2004
2005-2009,Gainer,GNB,159,2,-157,2005,2009
2005-2009,Gainer,HTI,162,23,-139,2005,2009
2005-2009,Gainer,GMB,134,24,-110,2005,2009
2005-2009,Gainer,GRD,142,46,-96,2005,2009
2005-2009,Gainer,IRQ,91,14,-77,2005,2009
2005-2009,Loser,ECU,17,99,82,2005,2009
2005-2009,Loser,TLS,16,121,105,2005,2009
2005-2009,Loser,TCD,1,109,108,2005,2009
2005-2009,Loser,LBR,3,113,110,2005,2009
2005-2009,Loser,GNQ,1,170,169,2005,2009
2010-2014,Gainer,STP,107,6,-101,2010,2014
2010-2014,Gainer,AZE,112,21,-91,2010,2014
2010-2014,Gainer,KNA,122,35,-87,2010,2014
2010-2014,Gainer,TLS,103,19,-84,2010,2014
2010-2014,Gainer,BEN,120,43,-77,2010,2014
2010-2014,Loser,TCD,1,82,81,2010,2014
2010-2014,Loser,TGO,28,126,98,2010,2014
2010-2014,Loser,CAF,19,120,101,2010,2014
2010-2014,Loser,MDG,29,172,143,2010,2014
2010-2014,Loser,PRY,13,173,160,2010,2014
2015-2019,Gainer,COD,116,18,-98,2015,2019
2015-2019,Gainer,GMB,103,8,-95,2015,2019
2015-2019,Gainer,GAB,113,28,-85,2015,2019
2015-2019,Gainer,AGO,105,27,-78,2015,2019
2015-2019,Gainer,SLE,84,13,-71,2015,2019
2015-2019,Loser,PHL,15,100,85,2015,2019
2015-2019,Loser,HTI,25,114,89,2015,2019
2015-2019,Loser,GNQ,2,95,93,2015,2019
2015-2019,Loser,KIR,6,124,118,2015,2019
2015-2019,Loser,BRA,10,137,127,2015,2019
2020-2024,Gainer,MDG,178,51,-127,2020,2024
2020-2024,Gainer,HND,110,25,-85,2020,2024
2020-2024,Gainer,MMR,119,40,-79,2020,2024
2020-2024,Gainer,GTM,116,39,-77,2020,2024
2020-2024,Gainer,TCD,84,10,-74,2020,2024
2020-2024,Loser,ARE,32,92,60,2020,2024
2020-2024,Loser,GIN,11,71,60,2020,2024
2020-2024,Loser,MOZ,15,82,67,2020,2024
2020-2024,Loser,PRY,95,164,69,2020,2024
2020-2024,Loser,ARG,69,190,121,2020,2024
